NBHD_ID,NBHD_NAME,POPULATION_2010,AGE_LESS_18,AGE_18_TO_34,AGE_35_TO_65,AGE_65_PLUS,NUM_HOUSEHOLDS,FAMILIES,NUM_HHLD_100K+
1,Athmar Park,8898.0,2649.0,2406.0,3112.0,731.0,2781.0,1964.0,425.0
2,Auraria,705.0,7.0,635.0,57.0,6.0,60.0,15.0,
3,Baker,4879.0,745.0,1762.0,2037.0,335.0,2447.0,833.0,
4,Barnum,6111.0,2015.0,1647.0,2089.0,360.0,1782.0,1289.0,120.0
5,Barnum West,5376.0,1579.0,1380.0,1824.0,593.0,1704.0,1207.0,
6,Bear Valley,8889.0,2036.0,2375.0,3190.0,1288.0,3652.0,2285.0,862.0
7,Belcaro,4172.0,646.0,621.0,1913.0,992.0,2126.0,1162.0,
8,Berkeley,8112.0,1305.0,2270.0,3513.0,1024.0,4049.0,1843.0,1510.0
9,Capitol Hill,14708.0,408.0,8274.0,5155.0,871.0,10856.0,1201.0,1223.0
10,CBD,3648.0,84.0,2288.0,1058.0,218.0,2363.0,303.0,
11,Chaffee Park,3874.0,890.0,1011.0,1480.0,493.0,1416.0,858.0,
12,Cheesman Park,7971.0,510.0,3268.0,3241.0,952.0,5343.0,1000.0,1055.0
13,Cherry Creek,5589.0,413.0,1314.0,2523.0,1339.0,3542.0,1194.0,1818.0
14,City Park,2907.0,316.0,1207.0,1067.0,317.0,1645.0,462.0,
15,City Park West,4844.0,453.0,1889.0,2000.0,502.0,2574.0,588.0,
16,Civic Center,1577.0,44.0,717.0,709.0,107.0,1140.0,222.0,
17,Clayton,4336.0,1325.0,1248.0,1370.0,393.0,1456.0,914.0,
18,Cole,4651.0,1396.0,1390.0,1514.0,351.0,1595.0,938.0,
19,College View - South Platte,6498.0,2037.0,1710.0,2336.0,415.0,2038.0,1395.0,129.0
20,Congress Park,10235.0,1427.0,3614.0,4450.0,744.0,5724.0,1940.0,1680.0
21,Cory - Merrill,3892.0,763.0,906.0,1742.0,481.0,1771.0,959.0,
22,Country Club,3001.0,672.0,414.0,1514.0,401.0,1289.0,822.0,
23,DIA,1165.0,310.0,462.0,366.0,27.0,509.0,296.0,
24,East Colfax,10191.0,2595.0,3397.0,3640.0,559.0,4273.0,2106.0,442.0
25,Elyria Swansea,6401.0,2322.0,1676.0,1960.0,443.0,1695.0,1305.0,191.0
26,Five Points,12712.0,1446.0,5961.0,4660.0,645.0,6406.0,1711.0,1680.0
